x_ft,y_ft,Kxx,Kxy,Kyy
9.800978263790280325e+05,1.906832116765351093e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.803343514987317612e+05,1.910460304575564223e+05,9.571996208420478509e-04,-3.024016254961123642e-04,3.380476832947140612e-04
9.805792210361049511e+05,1.910485871173733321e+05,2.411415079266223879e-03,-2.914622068001429100e-04,5.088272855977863697e-03
9.806131705560350092e+05,1.911567348424288793e+05,2.074070561057122977e-03,-2.615289719177456111e-03,5.932426573673407581e-03
9.807590562212328659e+05,1.910164639589170110e+05,1.563003707487620186e-02,-8.644907563766618744e-03,2.124773928026476091e-02
9.808296739181572339e+05,1.910251281518446049e+05,-1.746863133898661488e-18,-2.729473646716658574e-20,4.264802572994779023e-22
9.804799594754796708e+05,1.947269997424533358e+05,6.279614135215063307e-04,8.591547085293778493e-04,1.175465239255373429e-03
9.807126247348525794e+05,1.948088628656847868e+05,9.892754795068395800e-04,2.169057661352105952e-04,4.755814973414329149e-05
9.807906655538063496e+05,1.948827559621538967e+05,5.205066359945180162e-04,-3.044122739306143557e-04,1.780319905865394077e-04
9.807931247076294385e+05,1.950092684454970004e+05,6.503122765915167363e-06,-2.670011272891728075e-05,1.096236447316348240e-04
9.803981798384701833e+05,1.952204975527366041e+05,1.957224282181119906e-02,-1.102356348354111178e-02,9.210293125000584141e-03
9.803217022177802864e+05,1.954675136389632535e+05,1.341994111363499205e-04,-6.604972517292475968e-04,3.947394516570199713e-03
9.803189780012107221e+05,1.956410332137595979e+05,9.975057590675050982e-05,1.786058559011677045e-04,1.405926164260664800e-03
9.804549369339125697e+05,1.952411043852021103e+05,1.060095828872662377e-01,-2.478464916925888009e-02,5.794559488989664206e-03
9.803168931092969142e+05,1.958459079007397522e+05,1.597106040484974664e-06,-3.943972589027288441e-05,9.739440831539982520e-04
9.806023634629762964e+05,1.956136137237425719e+05,8.247755508266771342e-05,-7.047299493403749965e-05,5.822156532346835439e-04
9.806018928913397249e+05,1.957781721906902094e+05,4.249430337566876718e-05,-1.357609506411998888e-04,1.023114291025894454e-03
9.806546347323337104e+05,1.952923450447781943e+05,3.632996946076141490e-05,-2.005687288349890056e-04,1.107290085391672172e-03
9.807363273133613402e+05,1.951734189817961887e+05,7.971391310205411251e-03,2.968113207029503438e-03,1.662090760551362956e-03
9.805865713344396790e+05,1.954288248669954482e+05,2.663867936348733893e-04,-5.246032241169027756e-05,6.534188921982852062e-04
9.808011483219934162e+05,1.955073981021480286e+05,3.679166065894719901e-04,1.541224581416607772e-05,1.083408815485517091e-04
9.808831950442289235e+05,1.952467885440158425e+05,9.029391146655552178e-04,5.058203984494143374e-04,4.917039128781376840e-04
9.811104089523614384e+05,1.953318320507197059e+05,3.543775112234408709e-04,1.381031330583578184e-05,7.251047417644474608e-04
9.810067486546136206e+05,1.956393097306662821e+05,5.932985733720065683e-06,9.011081427151904338e-05,3.892189240673866579e-03
9.810342358155620750e+05,1.955293630446330353e+05,2.518757276340624694e-04,-8.531457065158763254e-05,3.308480181819950950e-03
9.801508172570266761e+05,1.965571419773622765e+05,1.157151539480623999e-04,5.491461129045903302e-04,2.606067079628773733e-03
9.799982851297450252e+05,1.966082347904480121e+05,3.426561244926706689e-04,1.650774204753330861e-03,7.952741189475750344e-03
9.800450389716770733e+05,1.966890542759565578e+05,1.392939058693326668e-04,-2.208944427882798540e-04,3.502978436150475669e-04
9.798997266604639590e+05,1.969837638452385436e+05,2.511598190381481065e-04,7.170025273417022105e-04,2.046874480891006012e-03
9.801046603408721276e+05,1.960898353322502517e+05,4.824611728884363698e-04,1.977259086641107357e-03,8.103353628021099306e-03
9.801200494951251894e+05,1.965772282686781546e+05,1.199006386337388424e-05,1.760080601328151357e-04,2.583709109869541422e-03
9.802299798076148145e+05,1.970308601520906959e+05,1.000773782394279756e-04,4.493841224746729872e-05,2.017899480232090842e-05
9.802708716352423653e+05,1.964346879895853053e+05,9.928108948316379900e-05,3.005801913501709500e-04,9.100267926393650368e-04
9.802874466000559041e+05,1.965826719545610831e+05,2.049888474184107055e-03,2.210176953105436048e-03,3.596343640482916812e-03
