x_ft,y_ft,Kxx,Kxy,Kyy
9.795324033456664765e+05,1.895929903898178018e+05,9.384594048765810612e+02,5.236176107480472410e+02,3.542124556332262841e+02
9.796350592563763494e+05,1.896593040036614111e+05,nan,nan,nan
9.796599449315373786e+05,1.898210036050826311e+05,2.589282069612827897e+01,3.696921098568160424e+00,3.824719912685478107e+01
9.797782592023249017e+05,1.897402720859181136e+05,1.567539925198119306e+02,2.662909142588867084e+01,3.758442179936280780e+01
9.800979907693968853e+05,1.898101167610548146e+05,nan,nan,nan
9.712718961233545560e+05,1.909715924000570958e+05,nan,nan,nan
9.714870309431683272e+05,1.904992437519169471e+05,nan,nan,nan
9.718321373903792119e+05,1.908093957273263368e+05,nan,nan,nan
9.720070648335848236e+05,1.906900938077872561e+05,nan,nan,nan
9.721408678266247734e+05,1.904525656727119931e+05,nan,nan,nan
9.723838262054579100e+05,1.935350269509271311e+05,nan,nan,nan
9.726789182823017472e+05,1.932741557668038004e+05,nan,nan,nan
9.728839603489325382e+05,1.937033480151213007e+05,nan,nan,nan
9.727197520088150632e+05,1.942026704014287388e+05,nan,nan,nan
9.730286722366509493e+05,1.936687931731768767e+05,nan,nan,nan
9.726497861333388137e+05,1.938421616242381861e+05,nan,nan,nan
9.724476785056210356e+05,1.938256843875625054e+05,nan,nan,nan
9.729397971449595643e+05,1.934656645080447779e+05,nan,nan,nan
9.729229329665938858e+05,1.944016666890561173e+05,nan,nan,nan
9.733392479689692846e+05,1.936312874546434323e+05,nan,nan,nan
9.732709429841662059e+05,1.944723740331037843e+05,nan,nan,nan
9.776006158427731134e+05,1.900239291632171662e+05,1.463104444967669693e+01,1.805642647845736803e+01,2.228375133242703754e+01
9.777294240225392859e+05,1.901803242775945400e+05,1.463020781839768780e+01,1.803560594211657886e+01,2.223366256514308148e+01
9.780543479266138747e+05,1.905101387591752864e+05,2.008549783425441859e+01,2.458012439196411947e+01,3.008103631983247439e+01
9.782539498526798561e+05,1.903651114188093052e+05,nan,nan,nan
9.783551094651799649e+05,1.908192950748035219e+05,1.657002472512459690e+01,3.118915937266653948e+00,1.587631228768473690e+01
9.783142746569429291e+05,1.909175558179891377e+05,1.038972209376139517e+02,1.168564223564638951e+02,1.539289542873406447e+02
9.784776793918409385e+05,1.907398348360954842e+05,1.950267411008134388e+01,-8.465048872047419015e-02,2.650785694020825289e+01
9.788309823002894409e+05,1.909413722072677047e+05,3.712613461340463772e+01,-1.410359853640664340e+01,3.790402370564447665e+01
9.785531285468027927e+05,1.911940047601056285e+05,4.304519778197486346e+01,3.320313592846428463e+01,5.897518296298544982e+01
9.786710889477931196e+05,1.911522142650613096e+05,4.197583249871006217e+01,-1.034783110078127066e+01,2.844871897303876906e+01
9.787368730549279135e+05,1.914673547281330393e+05,nan,nan,nan
9.787392066029752605e+05,1.910733617588746420e+05,5.885351466325337810e+01,-2.563691314751688211e+01,2.005289671765855175e+01
9.789107864860810805e+05,1.910241606973916641e+05,2.698636438307429231e+01,6.388752116606534415e+00,5.448962541715489216e+00
9.789086279007969424e+05,1.917752099514899601e+05,3.939817698466593754e+01,1.068370681856226767e+01,1.070811554896781992e+01
9.788268660120370332e+05,1.917944292844633164e+05,nan,nan,nan
9.789383426033247961e+05,1.911530767642108840e+05,1.083855810295347055e+01,7.567974982391096894e+00,2.064820619853237815e+01
9.789891777215632610e+05,1.916264541788251372e+05,1.871737155518748352e+01,-1.346164452496810382e+00,1.571379378839907872e+02
9.789846449848712655e+05,1.964530962406177714e+05,nan,nan,nan
9.790148930343987886e+05,1.960374614431697119e+05,nan,nan,nan
9.790195719395010965e+05,1.967370064112198015e+05,nan,nan,nan
9.790337809328840813e+05,1.968574922507653537e+05,nan,nan,nan
9.791097413284471259e+05,1.972755518747321912e+05,nan,nan,nan
9.791395259656008566e+05,1.900463952504474437e+05,3.702081336512799936e+01,-2.471657152100785737e+01,4.494545277453583054e+01
9.791412310487583745e+05,1.905906300414584402e+05,3.308846336904396424e+01,-1.757424661651120346e+01,3.753291498855059416e+01
9.792424468162445119e+05,1.907011498815402447e+05,4.499394516324254134e+00,-6.058651720409156560e+00,2.099508066364393954e+01
9.793389670908751432e+05,1.903889612350478128e+05,7.833591052999069326e+00,-1.013984033116707018e+01,1.423216749131074188e+01
9.794811706957065035e+05,1.901550146727776737e+05,2.099228196334986407e+01,6.542320517157223847e+00,1.693269758214259824e+01
9.795678780145951314e+05,1.900011050704026420e+05,3.674241222049737843e+01,1.235467144695590491e+01,5.424004861006902445e+01
9.797370396840359317e+05,1.900658491199205746e+05,2.479010608598575516e+01,-1.882731109338763531e+01,1.746092917289325186e+01
9.796897824396031210e+05,1.902967657992244931e+05,8.735384050155552416e+00,-1.687039954468811942e+01,4.965785539144800254e+01
9.790839950742769288e+05,1.910520700144278526e+05,4.713143197269808127e+00,-8.309913390874854144e+00,2.481550743008427418e+01
9.789638196503379149e+05,1.914545955862697156e+05,8.310501574164675276e+00,-1.649240445255153453e+00,1.555679330201367634e+02
9.791532136059656041e+05,1.913466588472033036e+05,3.513915199591068728e+01,2.206757317323232659e+00,1.428700908704575667e+01
9.792680451134212781e+05,1.914484248102225247e+05,7.085325318613979739e+00,3.870699639209063569e+00,3.791547770326305766e+01
9.792548979820514796e+05,1.916529131821879710e+05,1.548503571137253232e+02,-1.076987790097399689e+01,2.542384154587701062e+01
9.795433140566416550e+05,1.916368664692115854e+05,3.095631796835246874e+01,-5.580811905459322375e+00,3.094495423615684970e+00
9.794329413163154386e+05,1.918143405144898570e+05,4.050299332196294699e+01,-1.811241503629352489e-01,8.040827733162466018e+00
9.796780048982230946e+05,1.918215777714244323e+05,nan,nan,nan
9.798375406950372271e+05,1.911003316323727777e+05,1.461886508931829809e+01,-1.560556970660126552e+00,1.665887224347779583e-01
9.799656320613200078e+05,1.916717690701481188e+05,2.301138539640534475e+02,-4.337113307596373346e+01,2.152305156491230065e+01
9.800478441618179204e+05,1.946011844420008129e+05,nan,nan,nan
9.800773773329145042e+05,1.947022416982282011e+05,nan,nan,nan
9.798856287422066089e+05,1.950323363508415350e+05,nan,nan,nan
9.794048607250974746e+05,1.958063218229379854e+05,nan,nan,nan
9.795000259588400368e+05,1.958588530043199426e+05,nan,nan,nan
9.793670856755007990e+05,1.959722954698832182e+05,nan,nan,nan
9.799666510217015166e+05,1.956609250973844901e+05,nan,nan,nan
9.791480579029157525e+05,1.968045116069455107e+05,nan,nan,nan
9.790912913738979260e+05,1.966297815975175763e+05,nan,nan,nan
9.792773105569243198e+05,1.965485824518827430e+05,5.855081222070034563e+00,3.921865821861589385e+00,2.262624680397722088e+01
9.792598480816979427e+05,1.968862858806974837e+05,1.029298132597873661e+01,-5.661911808342015462e+00,3.114476195981487727e+00
9.794029334616695996e+05,1.967797220041791734e+05,2.426359170902649254e+01,3.511490684144980001e+00,3.525910188293374858e+01
9.793867450940703275e+05,1.970741851767131593e+05,6.157482935682447867e+00,-3.413296858893587249e+00,1.892103570343320218e+00
9.795207882160280133e+05,1.970173272723093105e+05,1.557595681587560854e+01,6.929703020220627785e+00,2.393429849997686887e+01
9.796224954029844375e+05,1.960292239202870987e+05,nan,nan,nan
9.796743842398276320e+05,1.960527782446798519e+05,6.740217067360528347e+01,1.335766015810519214e+01,4.649217802209022032e+00
9.796024284026321257e+05,1.963803250335622870e+05,nan,nan,nan
9.796838882962333737e+05,1.966697272273964481e+05,nan,nan,nan
9.799133830984859960e+05,1.961490678661015700e+05,5.722054890224695356e+01,5.240840948984853753e+01,1.898373246492526505e+02
9.791272733230139129e+05,1.973922528723753348e+05,nan,nan,nan
9.792239970908573596e+05,1.971502029696883983e+05,nan,nan,nan
9.792500566402979894e+05,1.974967039534225769e+05,9.318327729522415837e+00,-5.513402007254841308e+00,3.262130564188650883e+00
9.793055859952347819e+05,1.976689523756061972e+05,8.613295950574423543e+00,-3.555616155734792283e+00,3.029244652598426235e+00
9.793664416607540334e+05,1.978398483649199479e+05,7.542365648561505154e+00,-1.663978008555989208e+00,1.285563310495493328e+00
9.793488320701491321e+05,1.972392661957496894e+05,2.521743724292668798e+00,5.125221769574014985e+00,1.041656133978616516e+01
9.794317463988495292e+05,1.973979851253336237e+05,2.120894862542867543e+01,3.333994205433347346e+00,2.676528934756083800e+01
9.796248212376702577e+05,1.972812006768111023e+05,1.485527280512842019e+01,-2.199654123989631671e+00,1.300926488894757149e+01
9.795086971045242390e+05,1.975879824603661546e+05,1.944445888612187900e+01,1.245744253034194493e+01,3.192170338157557552e+01
9.796014263610731578e+05,1.977595074261745904e+05,1.394348390528096715e+01,4.710047827814091370e+00,1.850312689759568485e+01
9.797208769125998951e+05,1.979742363251332426e+05,1.723748133221531020e+01,2.323034735878311885e+00,2.246344472299417916e+01
9.797945819653982762e+05,1.974589500281763612e+05,4.664076442916107901e+00,-7.577748813596645316e-01,3.172974635949677769e+00
9.799145297075425042e+05,1.971462851692724216e+05,nan,nan,nan
9.798014797731456347e+05,1.976845351282365446e+05,1.161653856025636422e+01,-2.963416298752346467e+00,3.974963064284019687e+00
9.793934195135742193e+05,1.980709863522969245e+05,1.187097711647347253e+01,-3.969772969417050934e+00,1.327531615476304161e+00
9.793102149663155433e+05,1.988324299654476345e+05,nan,nan,nan
9.798285794949664269e+05,1.990771612783354649e+05,nan,nan,nan
9.798593162178988568e+05,1.985225939186514879e+05,4.969420211868808224e+01,-1.326165721451747714e+01,4.352980786915382083e+01
9.793699820802386384e+05,1.992375104013028322e+05,nan,nan,nan
9.795908232700971421e+05,1.997798859035396017e+05,nan,nan,nan
9.795861045595286414e+05,1.994322774317295116e+05,7.676636412551707700e+00,1.334429778837902703e+01,2.319639408397446090e+01
9.796311331317860167e+05,1.999123999799828161e+05,2.133579721130374907e+01,-9.828771823439835131e+00,1.379967224898352285e+01
9.797777862132256851e+05,1.997212140797088796e+05,1.878152348386551296e+02,-5.612553553871419609e+01,1.236246611132157653e+02
9.798540888293634634e+05,1.998053866253788874e+05,1.390903445323729670e+01,4.234290742982683042e+00,1.967786257843704334e+01
9.799178179062535055e+05,1.999353757902664947e+05,1.184898012098132547e+01,5.402631544456609092e+00,1.151672971579155202e+01
9.802111463080804097e+05,1.897806454229694791e+05,1.790243324027093053e+01,1.253085475795062287e+01,8.771193302049123730e+00
9.801849588380334899e+05,1.898956178526048025e+05,4.422216088902081310e+01,1.647907576567561705e+01,4.906139358959089947e+01
9.801271837094019866e+05,1.899544093491268286e+05,5.127156930773226762e+00,-6.481451228671773812e+00,8.193537263984280727e+00
9.802528917784566293e+05,1.899753501437205123e+05,3.762501492267838898e+01,3.456029739511665611e+01,3.174687666987949441e+01
9.800978263790280325e+05,1.906832116765351093e+05,1.698020468522017101e-01,1.869387283510133502e+00,2.058048698783446540e+01
9.805489274791777134e+05,1.899684236275795847e+05,nan,nan,nan
9.806779973439123714e+05,1.902519517222300346e+05,nan,nan,nan
9.808090753999811132e+05,1.903650250092642964e+05,nan,nan,nan
9.808624337847231654e+05,1.911327698601564916e+05,nan,nan,nan
9.803343514987317612e+05,1.910460304575564223e+05,8.491547315409592045e+01,-1.119248839627690195e+01,8.769715085934604915e+00
9.802364126263784710e+05,1.916622975712389161e+05,nan,nan,nan
9.805792210361049511e+05,1.910485871173733321e+05,2.163128063426565291e+02,-2.463278871340174447e+01,2.304781382470219953e+01
